Sex,Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade,percentage,Error Check,Percentage
0,Female,1,1,2,1,1,4,4,5,77.5,"7750,00%",OK,77.50%
1,Male,1,1,3,1,1,1,3,3,83,"8300,00%",OK,83.00%
0,Female,1,0,0,0,0,1,3,3,80,"8000,00%",OK,80.00%
0,Female,1,3,5,1,1,2,2,3,45,"4500,00%",OK,45.00%
1,Male,1,1,1,2,1,1,3,4,85,"8500,00%",OK,85.00%
0,Female,1,1,5,1,1,1,2,2,80,"8000,00%",OK,80.00%
0,Female,1,1,2,2,1,2,3,3,55,"5500,00%",OK,55.00%
0,Female,1,1,5,2,1,2,3,3,80,"8000,00%",OK,80.00%
1,Male,1,2,1,1,1,3,3,5,60,"6000,00%",OK,60.00%
0,Female,1,2,5,2,1,1,2,4,88,"8800,00%",OK,88.00%
1,Male,1,4,1,1,1,2,4,2,80,"8000,00%",OK,80.00%
0,Female,1,0,0,0,0,2,4,4,45,"4500,00%",OK,45.00%
1,Male,1,3,3,2,1,2,5,5,90,"9000,00%",OK,90.00%
1,Male,1,4,1,2,1,2,5,5,74,"7400,00%",OK,74.00%
1,Male,1,3,5,5,1,2,4,4,95,"9500,00%",OK,95.00%
1,Male,1,2,4,3,1,1,3,3,50,"5000,00%",OK,50.00%
0,Female,1,1,5,1,1,1,4,1,98,"9800,00%",OK,98.00%
1,Male,1,2,2,3,1,2,5,3,90,"9000,00%",OK,90.00%
1,Male,1,3,3,2,1,3,3,4,87,"8700,00%",OK,87.00%
0,Female,1,0,0,0,0,2,2,3,55,"5500,00%",OK,55.00%
0,Female,1,2,2,2,1,4,4,4,95,"9500,00%",OK,95.00%
1,Male,1,1,4,1,1,1,3,2,70,"7000,00%",OK,70.00%
1,Male,1,1,5,1,1,3,4,1,70,"7000,00%",OK,70.00%
1,Male,1,3,2,2,1,1,3,3,45,"4500,00%",OK,45.00%
0,Female,1,0,0,0,0,1,4,3,80,"8000,00%",OK,80.00%
1,Male,1,2,2,1,1,2,2,2,65,"6500,00%",OK,65.00%
0,Female,1,1,5,1,1,1,2,5,95,"9500,00%",OK,95.00%
1,Male,1,0,0,0,0,3,4,3,45,"4500,00%",OK,45.00%
1,Male,1,4,1,3,1,2,2,2,76.5,"7650,00%",OK,76.50%
1,Male,1,2,2,1,1,2,4,2,61,"6100,00%",OK,61.00%
0,Female,1,0,0,0,0,3,3,2,95,"9500,00%",OK,95.00%
0,Female,1,1,4,1,1,1,2,2,80,"8000,00%",OK,80.00%
0,Female,1,0,0,0,0,1,2,4,85,"8500,00%",OK,85.00%
0,Female,1,0,0,0,0,1,2,4,99,"9900,00%",OK,99.00%
1,Male,1,2,2,1,1,3,3,2,77,"7700,00%",OK,77.00%
1,Male,1,0,0,0,0,3,2,2,90,"9000,00%",OK,90.00%
0,Female,1,2,4,1,1,2,4,4,100,"10000,00%",OK,100.00%
1,Male,1,4,3,3,1,2,5,4,80,"8000,00%",OK,80.00%
0,Female,1,0,0,0,0,3,3,2,99,"9900,00%",OK,99.00%
1,Male,1,2,3,3,1,2,2,2,70,"7000,00%",OK,70.00%
1,Male,1,4,1,5,1,2,2,2,50,"5000,00%",OK,50.00%
0,Female,1,2,1,3,1,2,4,3,80,"8000,00%",OK,80.00%
0,Female,1,0,0,0,0,3,2,2,55,"5500,00%",OK,55.00%
0,Female,1,1,4,1,1,2,5,4,75,"7500,00%",OK,75.00%
1,Male,1,4,1,3,1,2,4,5,69,"6900,00%",OK,69.00%
0,Female,1,2,4,2,1,3,5,5,95,"9500,00%",OK,95.00%
